32   0 0.0110619 15
33 ! 0.0110619 0.0162242 7
34 " 0.0162242 0.0243363 11
35 # 0.0243363 0.0361357 16
36 $ 0.0361357 0.0464602 14
37 % 0.0464602 0.0626844 22
38 & 0.0626844 0.0789086 22
39 ' 0.0789086 0.0848083 8
40 ( 0.0848083 0.0921829 10
41 ) 0.0921829 0.0995575 10
42 * 0.0995575 0.108407 12
43 + 0.108407 0.119469 15
44 , 0.119469 0.125369 8
45 - 0.125369 0.133481 11
46 . 0.133481 0.138643 7
47 / 0.138643 0.146755 11
48 0 0.146755 0.15708 14
49 1 0.15708 0.166667 13
50 2 0.166667 0.177729 15
51 3 0.177729 0.188791 15
52 4 0.188791 0.199115 14
53 5 0.199115 0.210177 15
54 6 0.210177 0.220501 14
55 7 0.220501 0.231563 15
56 8 0.231563 0.24115 13
57 9 0.24115 0.252212 15
58 : 0.252212 0.258112 8
59 ; 0.258112 0.264012 8
60 < 0.264012 0.275074 15
61 = 0.275074 0.286136 15
62 > 0.286136 0.295723 13
63 ? 0.295723 0.303097 10
64 @ 0.303097 0.316372 18
65 A 0.316372 0.329646 18
66 B 0.329646 0.341445 16
67 C 0.341445 0.356195 20
68 D 0.356195 0.371681 21
69 E 0.371681 0.384218 17
70 F 0.384218 0.394543 14
71 G 0.394543 0.409292 20
72 H 0.409292 0.424041 20
73 I 0.424041 0.438791 20
74 J 0.438791 0.45354 20
75 K 0.45354 0.468289 20
76 L 0.468289 0.483038 20
77 M 0.483038 0.497788 20
78 N 0.497788 0.512537 20
79 O 0.512537 0.527286 20
80 P 0.527286 0.542035 20
81 Q 0.542035 0.556785 20
82 R 0.556785 0.571534 20
83 S 0.571534 0.586283 20
84 T 0.586283 0.601033 20
85 U 0.601033 0.615782 20
86 V 0.615782 0.630531 20
87 W 0.630531 0.64528 20
88 X 0.64528 0.66003 20
89 Y 0.66003 0.674779 20
90 Z 0.674779 0.689528 20
91 [ 0.689528 0.704278 20
92 \ 0.704278 0.719027 20
93 ] 0.719027 0.733776 20
94 ^ 0.733776 0.748525 20
95 _ 0.748525 0.763275 20
96 ` 0.763275 0.778024 20
97 a 0.778024 0.792773 20
98 b 0.792773 0.807523 20
99 c 0.807523 0.822272 20
100 d 0.822272 0.822272 0
101 e 0.822272 0.822272 0
102 f 0.822272 0.822272 0
103 g 0.822272 0.822272 0
104 h 0.822272 0.822272 0
105 i 0.822272 0.822272 0
106 j 0.822272 0.822272 0
107 k 0.822272 0.822272 0
108 l 0.822272 0.822272 0
109 m 0.822272 0.822272 0
110 n 0.822272 0.822272 0
111 o 0.822272 0.822272 0
112 p 0.822272 0.822272 0
113 q 0.822272 0.822272 0
114 r 0.822272 0.822272 0
115 s 0.822272 0.822272 0
116 t 0.822272 0.822272 0
117 u 0.822272 0.822272 0
118 v 0.822272 0.822272 0
119 w 0.822272 0.822272 0
120 x 0.822272 0.822272 0
121 y 0.822272 0.822272 0
122 z 0.822272 0.822272 0
123 { 0.822272 0.822272 0
124 | 0.822272 0.822272 0
125 } 0.822272 0.822272 0
126 ~ 0.822272 0.822272 0
